"Add new font","Add new font"
"Allowed file types: ttf.","Allowed file types: ttf."
"Bold font","Bold font"
"Canceled","Canceled"
"General Settings","General Settings"
"Invoiced","Invoiced"
"Italic font","Italic font"
"Ordered","Ordered"
"PotatoCommerce - Print Any Order","PotatoCommerce - Print Any Order"
"Price","Price"
"Print","Print"
"Print All incl. Order Prints","Print All incl. Order Prints"
"Print Any Order","Print Any Order"
"Print Orders","Print Orders"
"Products","Products"
"Qty","Qty"
"Refunded","Refunded"
"Regular font","Regular font"
"SKU","SKU"
"Shipped","Shipped"
"Subtotal","Subtotal"
"Tax","Tax"
"There are no printable documents related to selected orders","There are no printable documents related to selected orders"
"This order no longer exists","This order no longer exists"